chksm1(8);chksm2(8);Size(4);Type(3);Title(48);Region(20)
100a5a42;def9b14e;0512;SMS;Asterix and the Secret Mission                  ;(Europe  Brazil) (En
907a6119;fb163003;0128;SMS;Astro Adventure                                 ;(Taiwan) (En) (Unl) 
c795182d;c795182d;0032;SMS;Astro Flash                                     ;(Japan)             
f321437b;3da7f1ce;0128;SMS;Astro Warrior & Pit Pot                         ;(Europe) (Sample)   
15d66bef;69efd483;0128;SMS;Astro Warrior & Pit Pot                         ;(Europe)            
c7c99bd7;299cbb74;0128;SMS;Astro Warrior                                   ;(Japan  USA  Brazil)
659dd36c;e1714a88;0512;SMS;Aventuras da TV Colosso  As                     ;(Brazil)            
7c618b80;e890331d;0512;SMS;Ayrton Senna's Super Monaco GP II               ;(Europe  Brazil) (En
8afc2347;ff614eb3;0128;SMS;Aztec Adventure                                 ;(World)             
179da058;f9dbb533;0128;SMS;BMX Trial - Alex Kidd                           ;(Japan)             
17e0e9ca;e5ff50d8;0256;SMS;Back to the Future Part II                      ;(Europe  Brazil) (En
e107d624;2d48c1d3;0256;SMS;Back to the Future Part III                     ;(Europe)            
1966ba08;35d84dc2;0256;SMS;Baku Baku                                       ;(Brazil) (En)       
655fb1f4;655fb1f4;0032;SMS;Bank Panic                                      ;(Europe  Brazil) (En
f1b7718a;4e3ebb55;0256;SMS;Basketball Nightmare                            ;(Europe  Brazil) (En
815d56e5;e5b3573e;0256;SMS;Basketball Nightmare                            ;(Europe  Brazil) (En
53e38ece;0df8597f;0256;SMS;Basketball Nightmare                            ;(Europe  Brazil) (En
fc59a520;b154ec38;0256;SMS;Batman Returns                                  ;(Europe  Brazil) (En
0beab8e5;c19430ce;0256;SMS;Battle Out Run                                  ;(Europe  Brazil) (En
1915aa7f;fae0ade7;0256;SMS;Battle Wings                                    ;(World) (Beta) (1988
3a839a73;1cbb7bf1;0256;SMS;Battlemaniacs                                   ;(Brazil) (En)       
8204001a;98f64975;0128;SMS;Black Belt                                      ;(Taiwan) (En) (Unl) 
76857ce6;da3a2f57;0128;SMS;Black Belt                                      ;(USA  Europe  Brazil
458ff12a;58d5fc48;0256;SMS;Blade Eagle                                     ;(World) (Beta)      
e7276de0;8ecd201c;0256;SMS;Blade Eagle 3-D                                 ;(World)             
25eb9f80;25eb9f80;0032;SMS;Bobble Bobble                                   ;(Korea) (En) (Unl)  
01f157ea;3084cf11;0256;SMS;Bomber Raid                                     ;(World)             
89e30b9e;caea8002;0256;SMS;Bonanza Bros.                                   ;(Europe  Brazil) (En
af9eaad5;b3768a7a;0512;SMS;Bonkers Wax Up!                                 ;(Brazil) (En)       
3c006dc7;1b10a951;0256;SMS;Bram Stoker's Dracula                           ;(Europe)            
c8172029;a93da32b;0256;SMS;Bread and Butter                                ;(World) (v1.00) (Aft
c9df4a8f;62c2aad2;0048;SMS;Bread and Butter                                ;(World) (v1.01) (Aft
7ec3f57e;dc10bcab;0048;SMS;Bread and Butter                                ;(World) (v1.026) (Af
91eb4f40;6d46bc40;0048;SMS;Bread and Butter                                ;(World) (v1.032) (Af
06ba1873;22d1dc74;0048;SMS;Bread and Butter World                          ;(World) (Aftermarket
95f84d4e;9086e6bb;0128;SMS;Bruce Lee                                       ;(World) (v0.052) (Af
e498d147;b4742656;0128;SMS;Bruce Lee                                       ;(World) (v0.20) (Aft
53e28505;cdb08905;0128;SMS;Bruce Lee                                       ;(World) (v0.21) (Aft
f64afc68;4ebbd863;0128;SMS;Bruce Lee                                       ;(World) (v0.22) (Aft
aebc154c;1647db26;0128;SMS;Bruce Lee                                       ;(World) (v0.50) (Aft
eafa46b4;06388c68;0128;SMS;Bruce Lee                                       ;(World) (v0.51) (Aft
d5052ca3;0b48f7db;0128;SMS;Bruce Lee                                       ;(World) (v0.75) (Aft
c36b63d0;37e27a38;0128;SMS;Bruce Lee                                       ;(World) (v1.00) (Aft
7a3575d8;7a3575d8;0032;SMS;Bruce Lee                                       ;(World) (v1.00) (Tec
70a69913;70a69913;0032;SMS;Bruce Lee                                       ;(World) (v1.01) (Tec
59fd4f72;59fd4f72;0032;SMS;Bruce Lee                                       ;(World) (v1.02) (Tec
f433e9eb;f433e9eb;0032;SMS;Bruce Lee                                       ;(World) (v1.04) (Tec
cb722a12;cb722a12;0032;SMS;Bruce Lee                                       ;(World) (v1.05) (Tec
b4c506f8;e843ba7e;0256;SMS;Bubble Bobble                                   ;(Europe  Brazil) (En
e8e47326;b948752e;0256;SMS;Bubble Bobble                                   ;(Taiwan) (En) (Unl) 
24fa5cd9;b0fc4577;0512;SMS;Buggy Run                                       ;(Europe  Brazil) (En
0918fba0;0918fba0;0032;SMS;C_So!                                           ;(Korea) (Unl)       
304216cb;ac6009a7;0256;SMS;California Games                                ;(USA  Europe  Brazil
2a2a0707;c0e25d62;0256;SMS;California Games II                             ;(Europe)            
459f8a08;a4852757;0256;SMS;Captain Silver                                  ;(Japan  Europe  Braz
03a52d19;2532a7cd;0128;SMS;Captain Silver                                  ;(USA) (Beta)        
6df3dffc;b81f6fa5;0128;SMS;Captain Silver                                  ;(USA)               
b8503518;3cff6e80;0256;SMS;Casino Games                                    ;(USA  Europe)       
4e765e29;31ffd7c3;0512;SMS;Castelo Ra-Tim-Bum                              ;(Brazil)            
bd610939;ee0f98ca;0128;SMS;Castle of Illusion Starring Mickey Mouse        ;(USA  Europe  Brazil
6110ef1f;953f42e1;0256;SMS;Castle of Illusion Starring Mickey Mouse        ;(USA  Europe  Brazil
4a616d3a;59840fd6;0256;SMS;Castle of Illusion Starring Mickey Mouse        ;(USA  Europe  Brazil
8b166b30;b9db4282;0256;SMS;Castle of Illusion Starring Mickey Mouse        ;(USA  Europe  Brazil
9f73a2d5;cc521975;0256;SMS;Cave Dude                                       ;(USA) (Proto)       
14900d4f;23163a12;0256;SMS;Champions of Europe                             ;(Europe  Brazil) (En
ae651ec5;7e5839a0;0256;SMS;Championship Hockey                             ;(Europe)            
21dd590c;492c7c6e;0128;SMS;Chapolim x Dracula - Um Duelo Assustador        ;(Brazil)            
5c74014d;c8381def;0128;SMS;Chase H.Q.                                      ;(USA)               
3939ca11;46340c41;0512;SMS;Cheese Cat-astrophe Starring Speedy Gonzales    ;(Europe  Brazil) (En
0714f823;16ec3575;0128;SMS;Choplifter                                      ;(Japan) (Proto)     
01fbd8f6;fd981232;0128;SMS;Choplifter                                      ;(USA  Europe  Brazil
e58d3848;4a21c15f;0128;SMS;Choplifter                                      ;(USA  Europe  Brazil
0fce9d73;86f49ae9;0128;SMS;Chouon Senshi Borgman                           ;(Japan) (Beta)      
923aafc8;e421e466;0128;SMS;Chouon Senshi Borgman                           ;(Japan)             
65e6f350;dd0e2927;0512;SMS;Chuck Rock                                      ;(Europe  Brazil) (En
c384f9e0;87783c04;0512;SMS;Chuck Rock II - Son of Chuck                    ;(Brazil) (En)       
0cf15ee2;c30e690a;0512;SMS;Chuck Rock II - Son of Chuck                    ;(Europe)            
f4181d5b;8fb75994;0128;SMS;Circuit  The                                    ;(Japan)             
99f2c023;e7f62e6d;0256;SMS;Cloud Master                                    ;(USA  Europe  Brazil
7253c3ec;7253c3ec;0032;SMS;Color & Switch Test                             ;(Japan) (En) (Proto)
37cd5a83;3fb40043;0128;SMS;Columns                                         ;(USA  Europe  Brazil
fe064853;665fda92;0128;SMS;Columns                                         ;(USA  Europe  Brazil
9d549e08;9d549e08;0032;SMS;Comical Machine Gun Joe                         ;(Japan)             
643f6bfc;643f6bfc;0032;SMS;Comical Machine Gun Joe                         ;(Korea) (Unl)       
84ad5ae4;84ad5ae4;0032;SMS;Comical Machine Gun Joe                         ;(Taiwan) (Unl)      
a645facf;13ac9023;0256;SMS;Cool Spot                                       ;(Europe)            
