chksm1(8);chksm2(8);Size(4);Type(3);Title(32);Region(7)
59de0a22;157b4492;0384;PCE;Devil's Crush - Naxat Pinball   ;(USA)  
7598161b;1b5b1cb1;0512;PCE;Die Hard                        ;(Japan)
5dcfdbf6;17ba3032;0256;PCE;Digital Champ                   ;(Japan)
02ce12a9;f42aa73e;0384;PCE;Don Doko Don!                   ;(Japan)
8ddeb6d9;dc760a07;0256;PCE;Doraemon - Meikyuu Daisakusen   ;(Japan)
2cc8f755;013a747f;0512;PCE;Doraemon - Nobita no Dorabian Ni;(Japan)
6dca0d9f;86087b39;0256;PCE;Double Dungeons - W             ;(Japan)
be71907b;4a1a8c60;0256;PCE;Double Dungeons - W             ;(USA)  
d3ff7bb9;4e0de488;0512;PCE;Download                        ;(Japan)
d3ff7bb9;85101c20;0512;PCE;Download                        ;(Japan)
fab0764b;442405d5;0512;PCE;Dragon Egg!                     ;(Japan)
c31d71a0;c89ce75a;0512;PCE;Dragon Saber - After Story of Dr;(Japan)
c31d71a0;3219849c;0512;PCE;Dragon Saber - After Story of Dr;(Japan)
e5e3b99e;01a76935;0256;PCE;Dragon Spirit                   ;(Japan)
38413529;086f148c;0256;PCE;Dragon Spirit                   ;(USA)  
ae4c1793;7d2c4b09;0256;PCE;Dragon's Curse                  ;(USA)  
a4a6f3c9;8e81fcac;0256;PCE;Drop Rock Hora Hora             ;(Japan)
a4a6f3c9;67ec5ec4;0256;PCE;Drop Rock Hora Hora             ;(Japan)
d2719f58;fea27b32;0256;PCE;Drop.Off                        ;(USA)  
f1a9a070;72e00bc4;0512;PCE;Druaga no Tou                   ;(Japan)
dc5320fc;1b1a80a2;0384;PCE;Dungeon Explorer                ;(Japan)
60013644;4ff01515;0384;PCE;Dungeon Explorer                ;(USA)  
02329c93;ca68ff21;0256;PCE;Energy                          ;(Japan)
347fa637;d50ff730;0256;PCE;F-1 Dream                       ;(Japan)
9ddeb637;09048174;0384;PCE;F-1 Pilot - You're King of Kings;(Japan)
751c9451;d7cfd70f;0512;PCE;F1 Circus '91 - World Championsh;(Japan)
327a8cdc;b268f2a2;0768;PCE;F1 Circus '92 - The Speed of Sou;(Japan)
b1e60210;79705779;0512;PCE;F1 Circus                       ;(Japan)
a5e0c551;e14dee08;0512;PCE;F1 Circus                       ;(Japan)
a320d3d4;13bf0409;0384;PCE;F1 Triple Battle                ;(Japan)
52477fc4;0bc0a12b;0512;PCE;Falcon                          ;(USA)  
4526d073;72cb0f9d;0256;PCE;Fantasy Zone                    ;(Japan)
72d33124;e8c3573d;0256;PCE;Fantasy Zone                    ;(USA)  
b089ae6a;1828d2e5;0512;PCE;Fighting Run                    ;(Japan)
18f4a0c4;c90971ba;0384;PCE;Final Blaster                   ;(Japan)
cac6824e;c8c084e3;0384;PCE;Final Lap Twin                  ;(Japan)
db204c0d;26408ea3;0384;PCE;Final Lap Twin                  ;(USA)  
0281ed92;560d2305;0256;PCE;Final Match Tennis              ;(Japan)
6fcf13d6;02a578c5;0512;PCE;Final Soldier                   ;(Japan)
bb5ae2fa;af2dd2af;0512;PCE;Final Soldier                   ;(Japan)
033acbfb;90ed6575;0384;PCE;Fire Pro Wrestling - Combination;(Japan)
0e5df18f;e88987bb;0512;PCE;Fire Pro Wrestling 2 - 2nd Bout ;(Japan)
52f89adb;534e8808;1024;PCE;Fire Pro Wrestling 3 - Legend Bo;(Japan)
f402bd43;85a1e7b6;0256;PCE;Formation Soccer - Human Cup '90;(Japan)
11b35668;7146027c;0512;PCE;Formation Soccer - On J. League ;(Japan)
